,다듬을 말,원어,다듬은 말,제출 점수,의미/용례,sorted11 인덱스,원어_검색량,다듬은말_검색량,검색량_가산점
378,리미티드 런,limited run,기간 한정 공연,4.0,폐막 날짜를 정하여 상영‧공연하는 일.,382,9.413793103448276,2.9655172413793105,-2
379,오픈 런 1,open run,상시 공연,4.0,폐막 날짜를 정해 놓지 않고 무기한으로 상영‧공연하는 일. 관객들의 사랑을 많이 받을수록 공연이 몇 달에서 몇 년 동안 지속되기도 함.,383,0.0,0.0,0
380,오픈 런 2,open run,"개장 질주,  개점 질주",3.0,매장이 열리기 전부터 기다리다 문이 열리자마자 달려가 물건을 사는 현상을 이르는 말.,384,34.48275862068966,0.0,-2
381,웰컴 키트,welcome kit,환영 꾸러미,3.0,환영이나 응원의 뜻을 담아 제공하는 물품들을 이르는 말. 주로 회사에서 신입 직원을 맞이하거나 숙박업소에서 고객을 맞이할 때 제공함.,385,10.310344827586206,3.4482758620689653,-2
382,베이퍼웨어,vaporware,신기루 상품,4.0,판매 계획이나 배포 계획은 발표되었으나 실제로 고객에게 판매되거나 배포되지 않은 제품이나 서비스.,386,3.4482758620689653,0.0,-2
383,엘리베이터 피치,elevator pitch,요점 전달,4.0,"승강기를 타고 다른 층으로 이동하는 정도의 짧은 시간 동안 제품이나 서비스, 계획 등에 대해 설명하는 것. 또는 그러한 말하기 방식.",387,0.0,0.0,0
384,텔레 케어,tele care,원격 돌봄,5.0,정보 통신 기술을 활용하여 원거리에 있는 노약자의 신체 징후나 일상 활동을 점검하면서 노약자를 보살피는 서비스.,388,0.0,0.0,0
385,이에스지(ESG) 경영,"Environmental, Social and Governance 經營",환경·사회·투명 경영,4.0,환경 보호와 사회적 기여도를 고려하고 법과 윤리를 준수하며 지배 구조를 개선하고자 하는 경영 철학.,389,0.0,0.0,0
386,가스 크로마토그래피,gas chromatography,가스 분석기,4.0,2012년 7월부터 시행될 열량거래제를 대비하여 가스 크로마토그래피(→가스 분석기)가 없는 계량설비에 신규로 설치하고 동시에 열량거래제 적용이 가능한 유량계산기로 교체가 필요함,390,8.137931034482758,17.24137931034483,4
387,가우징,gouging,홈파기 작업,1.3333,용접 불량부 제거를 위하여 가우징(→홈파기 작업)을 시행한다.,391,6.137931034482759,0.0,-2
388,노멀 루베,normal cubic meter,표준 세제곱미터,3.3333,가스도매요금이 1 노멀 루베(→표준 세제곱미터)에 12원이 올랐다.,392,0.0,0.0,0
389,"드라이아웃, 드라이아웃하다",dry-out,"건조, 건조하다",5.0,가스배관을 질소를 이용하여 드라이아웃(→건조)한 후에 이슬점을 측정해야 한다.,393,0.0,3.4482758620689653,4
390,디피에스,DPS: Disaster Prevention System,방재 장치,3.0,생산기지에 화재가 발생하면 운전원은 DPS(→방재 장치)로 소화설비를 작동시킬 수 있다.,394,0.0,3.4482758620689653,4
391,런아웃,run-out,(중심축) 이탈,3.5,고압펌프의 축을 분해한 후 축의 런아웃(→(중심축) 이탈)을 측정하여 기록한다.,395,0.0,0.0,0
392,로그시트,log-sheet,운영 기록지,4.0,설비운영부서와 운전원은 설비운영에 관련된 각종 정보를 로그시트(→운영 기록지)에 반드시 남겨야 한다.,396,6.206896551724138,0.0,-2
393,로깅,logging,기록,4.0,가스 설비처럼 온도 제어와 데이터를 로깅(→기록)하는 장비에서 발생하는 열 등으로 최종 측정값에 오류가 생길 가능성이 높다.,397,1.0689655172413792,90.3103448275862,4
394,벤트,vent,배출,4.0,"고압펌프의 압력을 벤트(→배출) 배관을 통하여, 압력을 해소하여야 한다.",398,15.0,75.3103448275862,4
395,비오지,BOG: Boil-Off Gas,증발가스,2.0,세계 최초로 액화천연가스(LNG)선에서 발생하는 비오지(→증발가스)를 완전 재액화시켰다.,399,0.1724137931034483,3.586206896551724,4
396,샘플링 가스,sampling gas,시료 가스,4.0,배관으로부터 채취된 샘플링 가스(→시료 가스)는 가스 샘플 용기를 통해 운반된다.,400,0.0,0.0,0
397,샘플링 하우스,sampling house,시료 (가스) 채취실,4.0,LNG 성분 분석을 위한 샘플링 하우스(→시료 (가스) 채취실)의 위치는 기지마다 다르다.,401,0.0,0.0,0
398,서브머지드 컴버스천 베이퍼라이저/ 에스시브이/ 에스엠브이,"SCV: Submerged Combustion Vaporizer, SMV",액중 연소 기화기,4.0,액화천연가스를 수용가로 보낼 때 연소열을 이용해 기화시키는 SCV(→액중 연소 기화기) 대신 질소산화물을 배출하지 않는 공기식기화기 시범설치와 질소산화물 감축 연구용역을 했다.,402,0.0,0.0,0
399,엠시에스,MCS: Main Control System,주 제어 장치,5.0,설비 운전원은 MCS(→주 제어 장치)를 이용하여 설비를 운전할 수 있다.,403,0.0,3.4482758620689653,4
400,"오픈 록 베이퍼라이저, 오아르브이, 오알브이",ORV: Open Rack Vaporizer,개방식 (해수 이용) 기화기,1.0,Open Rack Vaporizer:ORV(→개방식 (해수 이용) 기화기)는 초저온 상태의 액화천연가스(LNG)를 기체 상태의 천연가스(NG)로 기화시키는 설비로 해수를 열교환매체로 사용하는 기화기다.,404,0.0,3.4482758620689653,4
401,"웜업, 웜업하다",warm-up,"예열, 예열하다",5.0,작업 시 웜업(→예열)을 안 하면 기기에 균열 발생 가능성이 크다.,405,0.0,0.0,0
402,이디엠에스,EDMS: Electrical Diagnostic & Monitoring System,전기 진단 감시 장치,3.0,EDMS(→전기 진단 감시 장치)를 이용하여 생산기지 전력설비의 상태를 실시간으로 확인할 수 있다.,406,0.0,0.0,0
403,"쿨다운, 쿨다운하다",cool-down,"냉각, 냉각하다",1.0,고압펌프 정비 완료 후 시운전 기간 중 배관에 적당량의 LNG를 주입하여 배관을 천천히 쿨다운(→냉각)한다.,407,0.0,0.0,0
404,플러싱,flushing,(관) 세척,3.0,배관이설공사가 끝난 이후 배관 내부 이물질 제거를 위하여 공기압축기를 사용하여 플러싱(→(관) 세척) 작업을 시행한다.,408,32.0,0.0,-2
405,피앤드아이디,P&ID:Piping & Instrumentation Diagram,배관 설비 도면,3.0,"공급관리소 내 신설, 증설 또는 철거 대상인 설비는 변경관리를 통하여 사전 PFD(→공정 흐름도) 및 P&ID(→배관 설비 도면)에 반영하여야 한다.",409,0.0,0.0,0
406,피에프디,PFD: Process Flow Diagram,공정 흐름도,5.0,신규로 추가된 생산기지 설비를 PFD(→공정 흐름도)에 반영하여 설계 부서에 검토 요청하여야 한다.,410,0.0,3.4482758620689653,4
407,리벤지 포르노,revenge porno,보복성 음란물,2.5,"헤어진 연인에게 보복하기 위해 유포하는 성적인 사진이나 영상 콘텐츠.<관련 예문>헤어진 연인, 친구에게 정신적 고통을 안기는 '보복성 음란물(←리벤지 포르노)' 배포를 막기 위해 △△이 기계 학습 인공지능 기술을 도입한다고 발표했다.",411,14.275862068965518,0.0,-2
408,인포테인먼트,infotainment,정보 오락 프로그램,2.0,"정보(information)와 오락(entertainment)의 합성어로, 정보, 지식, 연예, 오락 프로그램의 특성을 조합하여 시청자들에게 교양과 재미를 동시에 전달하는 방송 프로그램.<관련 예문>게임 방송이나 먹는 방송은 □□□를 이용하는 주요 연령층인 10~20대에게 호응이 높은 정보 오락 프로그램(←인포테인먼트)이다.",412,31.275862068965516,0.0,-2
409,앵커 테넌트,anchor tenant,핵심 점포,3.5,상가나 쇼핑몰 등에서 고객을 끌어들이는 점포.<관련 예문>‘핵심 점포(←앵커 테넌트)를 비롯해 다양한 업종의 점포들이 입점하고 있어 상권 활성화를 기대할 수 있다.,413,0.0,0.0,0
410,패스트 힐링,fast healing,자투리 휴식,2.0,"바쁜 일상 속에서 짧은 시간 간단한 방법으로 휴식을 취하는 것으로, 자신을 위한 시간이 부족하다고 느끼는 직장인들 사이에 새로운 휴식 문화로 정착되고 있음.<관련 예문>시간과 품을 크게 들이지 않고도 만족스럽게 쉴 수 있는 자투리 휴식(←패스트 힐링) 상품으로는, 유명한 간식이나 근사한 한 끼를 빠르게 배송받을 수 있는 온라인 상점과 수면 공간 제공 서비스, 짤막하게 웃고 즐길 수 있는 웹 예능 콘텐츠 등이 있다.",414,0.0,0.0,0
411,그로서란트,grocerant,식재료 식당,3.0,고객이 식재료 구입과 식사를 한곳에서 할 수 있는 복합 공간.<관련 예문>매장에서 장보기를 마치고 바로 옆에서 식사를 할 수 있는 식재료 식당(←그로서란트)이 인기를 끄는 공간이 되고 있다.,415,0.0,0.0,0
412,클린 이팅,clean eating,자연식,5.0,자연에서 채취한 식재료를 사용하면서 가공식품이나 정제된 곡물·첨가제 등의 활용을 제한하는 식문화.<관련 예문>최근 과일·채소와 통곡물·견과류 등 모든 음식을 자연 상태 그대로 건강하게 즐기는 ‘자연식(←클린 이팅’)이 유행이다.,416,0.0,0.0,0
413,플라스틱 어택,plastic attack,과대 포장 거부 운동,4.0,"불필요한 플라스틱 사용을 줄이기 위하여, 물건을 구입하고 나서 과도하게 포장된 상품의 포장지를 버리고 오는 운동.<관련 예문>장을 보고 나면 수북이 쌓이는 플라스틱 포장 쓰레기에 화난 시민들이  ‘과대 포장 거부 운동(←플라스틱 어택)’을 하며 ‘쓰레기는 사고 싶지 않다!’고 외쳤다.",417,3.4482758620689653,0.0,-2
414,플랜테리어,planterior,식물 인테리어,5.0,친환경 인테리어의 일종으로 식물을 이용하여 실내를 아름답게 꾸미는 일. 식물이 천연 공기 청정 기능을 하며 거주자에게 정서적 안정감을 줌.<관련 예문>공기를 정화하고 집안 분위기도 긍정적으로 바꿀 수 있는 식물 인테리어(←플랜테리어)’가 인기다.,418,21.379310344827587,0.0,-2
415,코스터,coaster,컵받침,4.0,"컵 밑에 받치는 깔판.<관련 예문>컵받침(←코스터), 포크 등 자잘한 물건을 대수롭지 않게 챙기는 일부 '바늘 도둑' 손님들이 카페를 운영하는 소상공인의 골치를 썩이고 있다.",419,61.93103448275862,1.1724137931034482,-2
416,제네릭,generic,복제약,3.0,특허가 만료된 원래 의약품의 복제약.<관련 예문>정부가 복제약(←제네릭) 이름을 '제조사+성분명'으로 하는 단일화 방안을 검토한다.,420,34.62068965517241,2.413793103448276,-2
417,팩트 체크,fact check,사실 확인,3.0,특정 정보가 사실인지 확인하고 검증하는 것.<관련 예문>현장에서 기자들이 쓰는 일상 기사에서 사실 확인(←팩트 체크)이 원활히 이뤄져야 한다.,421,8.310344827586206,25.24137931034483,4
418,커뮤니티 케어,community care,지역 사회 (통합) 돌봄,4.0,"돌봄이 필요한 사람들에게 지역 사회가 관리 및 보건ㆍ복지 서비스 등을 제공하며 함께 어울려 살아갈 수 있도록 돌보는 체계.<관련 예문>△△도는 노인 인구가 급증하고, 치매 환자가 느는 등 각종 부작용이 발생함에 따라 지역이 노인 돌봄을 책임지는 지역 사회 (통합) 돌봄(←커뮤니티 케어) 사업을 다음 달부터 시범 실시할 예정이다.",422,6.310344827586207,5.620689655172414,1
419,유니버설 디자인,universal design,범용 디자인,2.0,"성별, 연령, 국적, 문화적 배경, 장애의 유무에도 상관없이 누구나 손쉽게 쓸 수 있는 제품 및 사용 환경을 만드는 디자인.<관련 예문>지난해 □□구가 범용 디자인(←유니버설 디자인)을 적용해 장애·비장애 아동 누구나 마음껏 놀 수 있는 공간으로 통합 놀이터를 조성했다.",423,6.724137931034483,0.0,-2
420,에어 커튼,air curtain,공기 커튼,3.0,공기의 흐름을 조절하는 방법의 하나로 온습도를 조절한 공기를 다른 공기의 흐름과 차단ㆍ분리하는 것.<관련 예문>무더위 속에 전철을 이용하는 시민을 위해 더운 바람을 차단하고 공기를 시원하     게 해주는 공기 커튼(←에어 커튼)을 전동열차에 시범 설치했다.,424,20.620689655172413,0.0,-2
421,미스터리 쇼퍼,mystery shopper,비밀 평가원,3.6667,고객으로 가장하고 매장을 방문하여 물건을 구매하면서 직원의 서비스 등을 평가하는 사람.<관련 예문>올해엔 외국인 환자로 가장한 비밀 평가원(←미스터리 쇼퍼) 5명이 지역의 성형 의료 기관 48곳을 찾았다.,425,0.0,0.0,0
422,마이크로 미디어,micro media,개인 매체,3.3333,"온라인상에서 손수 제작물(ucc), 블로그, 누리집 등 개인이 만든 콘텐츠를 공유하는 매체.<관련 예문>미디어는 점점 단방향적인 '대중 매체(←매스 미디어)'에서 양방향 소통이 가능한 '개인 매체(←마이크로 미디어)'의 방식으로 변화해 갈 것이다.",426,0.0,3.4482758620689653,4
423,뉴트로,newtro,신복고,2.0,"새로움(new)과 복고(retro)를 합친 신조어로 과거의 문화나 풍습, 물건 따위를 새롭게 즐기는 일.<관련 예문>청춘의 불안과 위로는 세대를 넘는 음악의 주제라는 점에서 가요계 신복고(←뉴트로) 열풍이 한동안 이어질 것으로 보인다.",427,12.241379310344827,0.0,-2
424,화이트 리스트,white list,수출 심사 우대국,4.5,"자국의 안전 보장에 위협이 될 수 있는 첨단 기술과 전자 부품 등을 타 국가에 수출할 때, 허가 신청을 면제하는 국가.<관련 예문>무역정책관은 ‘수출 심사 우대국(←화이트리스트) 제외와 핵심 소재 3개  품목 규제에 대해 전반적으로 논의할 예정’이라고 전했다.",428,40.48275862068966,0.0,-2
425,밀키트,meal kit,바로 요리 세트,2.5,"요리에 필요한 손질된 식재료와 딱 맞는 양의 양념, 조리법을 한 묶음으로 구성해 제공하는 제품.간편하게 데워 먹는 가정 간편식과는 달리 손질된 재료를 조리법을 보고 15분~30분 이내에 전문가 수준의 요리로 만들 수 있음.<관련 예문>식품업계는 지난해 200억 원대였던 바로 요리 세트(←밀키트) 시장이   올해 400억 원대로 성장할 것으로 전망하고 있다.",429,44.310344827586206,0.0,-2
426,모디슈머,modisumer,응용 소비자,3.0,새로움을 추구하는 체험적 소비자. 제조업체가 제시하는 방식에서 벗어나 사용자 자신만의 방식으로 제품을 활용함.<관련 예문>○○식품은 신제품 개발에 응용 소비자(←모디슈머)의 조리법을 적극   반영했다.,430,0.0,0.0,0
427,메일링 서비스,mailing service,전자 우편 서비스,4.0,기관 등에서 여러 가지 유용한 정보를 전자 우편을 통해 전송하는 서비스.<관련 예문>□□ 도서관은 회원들이 새로 나온 책 정보를 빨리 알 수 있도록 전자  우편 서비스(←메일링 서비스)를 제공한다.,431,0.0,0.0,0
428,플래터,platter,모둠 접시,3.5,"상차림에서 주가 되는 요리로, 주로 하나 이상의 음식과 함께 제공되는 것.<관련 예문>△△식당은 다양하게 요리된 고기와 치즈, 과일을 포함한 모둠 접시(←플래터)를 출시했다.",432,35.827586206896555,0.0,-2
429,스피드 팩토어,speed factore,잰맞춤 생산 (체계),2.0,"소비자의 주문을 신속하게 공장으로 전송하고, 자동화된 생산 공정을 활용하여 소비자가 원하는 맞춤형 제품을 빠르게 생산해 내는 시스템.",433,0.0,0.0,0
430,플로깅,plogging,쓰담 달리기,4.0,달리기를 하면서 쓰레기를 줍는 운동. ※ ‘플로깅(plogging)’은 이삭 등을 줍는다는 뜻의 스웨덴어 ‘Plocka upp’과 달리기를 뜻하는 영어 ‘Jogging’의 합성어.,434,25.310344827586206,0.9310344827586207,-2
431,치팅 데이,cheating day,먹요일,5.0,식단 조절을 하는 동안 정해진 식단을 따르지 않고 자신이 먹고 싶은 음식을 먹는 날.,435,36.41379310344828,0.0,-2
432,베그패커,beg packer,구걸배낭족,4.0,사람들이 많은 장소에서 구걸해서 여행 경비를 마련하는 배낭여행객.,436,0.0,0.0,0
433,소셜 디자이너,social designer,공동체 (혁신) 활동가,2.5,인권 보호와 사회 개혁에 앞장서서 사회를 바꾸기 위해 노력하는 사람.,437,0.0,0.0,0
434,딥페이크,deepfake,① (인공지능 기반) 첨단 조작 기술 ② 인공 지능 조,1.5,"① 인공 지능(AI) 기술을 활용해 사진이나 영상에 다른 이미지를 중첩·결합해 가공의 새 이미지나 영상을 만들어내는 기술.※ ‘딥페이크(deepfake)’는 인공 지능 심층 학습을 뜻하는 ‘디프 러닝(deep learning)’과 ‘가짜’를 뜻하는 ‘페이크(fake)’의 합성어.② 인공 지능 기술을 이용하여 기존 인물의 얼굴이나, 특정 부위를 합성한 영상 편집물. <관련 예문>①  (인공지능 기반) 첨단 조작 기술(←딥페이크) 허위 영상물 성범죄 사건을 수사하는 경찰이 영상물 유통 통로인 텔레그램 측과 전용 소통망을 구축해 수사 협조 방안을 논의하고 있다고 밝혔다. 《헤럴드경제, 2024년 9월》② 2건. 2022년부터 올해 8월까지 전국 초·중·고교에서 인공 지능 조작 영상(←딥페이크) 제작 및 배포를 이유로 퇴학 처분이 내려진 사안 수다.  《중앙일보, 2024년 9월》",438,43.3448275862069,0.0,-2
435,게이트 키퍼,gate keeper,생명 지킴이,2.0,"자살 위험성이 높은 고위험군 대상자를 조기에 발견하여 전문기관의 상담 및 치료를 받을 수 있도록 중간에서 연결해 주거나, 자살 위기 상황이 발생하였을 때 신속한 대응으로 자살 시도를 방지하는 등, 자살을 예방하기 위해 지속적인 관리ㆍ지원을 담당하는 사람.",439,28.344827586206897,2.689655172413793,-2
436,쇼트리스트,short list,최종 후보 명단,3.0,"최종 선발이나 채용, 입찰, 수상, 인수 등을 앞두고 발표하는 최종 후보자 명단을 이르는 말. 또는 1차 후보자 명단(롱 리스트, long list)에서 더 압축된 명단을 가리키기도 한다.",440,0.0,0.0,0
437,앰비슈머,ambisumer,가치 소비자,4.0,가치관의 우선순위에 있는 것에는 소비를 아끼지 않는 대신 우선순위에 없는 것에는 소비를 아끼는 사람들 혹은 그러한 소비 형태.,441,0.0,0.0,0
438,필리버스터,filibuster,"합법적 의사진행 저지, 무제한 토론",1.0,"의회 안에서 합법적인 수단을 이용하여 의사 진행을 고의로 저지하는 행위. 장시간에 걸친 연설이나 출석 거부, 동의안이나 수정안의 연속 제의, 형식적인 절차의 철저한 이행 따위의 방법으로 이루어진다.",442,27.448275862068964,0.0,-2
439,제로웨이스트,zero waste,쓰레기 없애기,4.0,"일상생활에서 책임 있는 생산, 소비, 재사용 및 회수를 통해 모든 자원을 보존하고 어떤 쓰레기도 소각‧매립되거나 바다에 버려지지 않도록 하는 것. 불필요한 자원을 소비하지 않고 쓰레기를 최소화하여 폐기물 자체를 생산하지 않는 것을 목적으로 하는 환경 운동이다.",443,28.03448275862069,0.0,-2
440,콤팩트 시티,compact city,기능 집약 도시,4.0,"지속 가능한 도시 공간 조성을 추구하는 도시 고밀도 개발 정책. 도심 공동화 현상이나 베드타운 현상을 지양하고, 도시 내부에서 주거‧상업‧사무‧쇼핑‧문화생활 등을 모두 해결할 수 있도록 설계하여 도심의 본래 기능을 살리는 데 중점을 둔다.",444,6.724137931034483,0.0,-2
441,게임 체인저,game changer(영),"국면 전환자, 국면 전환 요소",3.0,어떤 일에서 결과나 흐름의 판도를 뒤바꿔 놓을 만한 중요한 역할을 한 인물이나 사건<관련 예문>-다가오는 4차 산업혁명 시대를 이끌어 갈 인재가 되려면 기존 시장에 얽매이지 않고 새로운 판을 만들 수 있는 국면 전환자(←게임 체인저)로 거듭나야 한다.-인공지능(AI)이 디지털 산업에서 가장 중요한 ‘국면 전환 요소(←게임 체인저)’가 될 것이라고 예상했다.,445,24.862068965517242,0.0,-2
442,밸류 체인,value chain(영),가치 사슬,3.0,"기업이 원재료를 사서 가공·판매해 부가가치를 창출하는 일련의 과정<관련 예문>모든 산업 분야에서 서비스 제공을 중심으로 제품 개발, 생산 방식 그리고 가치 사슬(←밸류 체인) 구조가 재편되고 있다.",446,14.89655172413793,3.3448275862068964,-2
443,번아웃 증후군,burnout syndrome(영),탈진 증후군,3.0,의욕적으로 일에 몰두하던 사람이 극도의 신체적·정신적 피로감을 호소하며 무기력해지는 현상.<관련 예문>피로가 누적되고 계속되면서 매사에 무기력증을 느끼는 이른바 '탈진 증후군(←번아웃 증후군)'을 겪는 직장인이 80%에 달했다.,447,0.0,0.0,0
444,슈퍼 사이클,super cycle(영),장기 호황,5.0,원자재 등 상품 시장 가격이 장기적으로 상승하는 추세.<관련 예문>반도체 ‘장기 호황(←슈퍼 사이클)’이 당초 예상보다 더 길어질 것이라는 전망이다.,448,5.758620689655173,0.0,-2
445,"에이치엠아르, 에이치엠알",HMR(Home Meal Replacement(영)),가정 간편식,1.0,"짧은 시간에 간편하게 조리하여 먹을 수 있는 가정식 대체 식품<관련 예문>최근 1인 가구 수 증가와 집밥 열풍을 타고 죽, 컵밥, 냉동 피자 등 '가정 간편식(←에이치엠아르, HMR)‘시장이 가파른 성장세를 나타내고 있다.",449,0.0,3.4482758620689653,4
446,인플루언서,influencer(영),영향력자,2.0,"사회 관계망 서비스(SNS)상에서 수십만 명의 딸림벗(팔로어)을 보유하고 있으며, 유행을 선도하는 사람들. 영향력자(←인플루언서)들이 사회 관계망 서비스(SNS)로 노출한 제품들은 판매량에 즉각적으로 영향을 미치기도 한다.",450,76.75862068965517,0.06896551724137931,-2
447,디지털 사이니지,digital signage,전자 광고판,5.0,"마케팅 및 광고에 활용되는 전자 정보 표시 도구.<관련 예문>전자 광고판(←디지털 사이니지)은 지하철, 공공장소, 호텔, 공항 등 어디에서나 볼 수 있다. 특히 백화점 같은 대형 시설물에 가면 큰 화면을 통해 화려한 광고를 구현하고 있다.",451,18.413793103448278,0.0,-2
448,스튜어드십 코드,stewardship code(영),의결권 행사 지침,1.0,"연기금이나 자산 운용사 같은 기관 투자가들의 의결권 행사를 적극적으로 유도하기 위한 자율 지침.<관련 예문>국민연금의 의결권 행사 지침(←스튜어드십 코드) 도입에 대해 시장 참여자들은 일단 우호적 평가를 하고 있으며, 도입 이후 국민연금의 주주활동이 중장기적으로 기업 가치에 긍정적 영향을 미칠 것으로 기대하고 있다.",452,0.0,0.0,0
449,워킹 그룹,working group(영),실무단,2.0,상위 조직에서 정한 주제나 목적에 따라 실제적으로 구체적인 일을 하는 모임. 또는 실무 회의를 진행하는 협의단.<관련 예문>현장의 목소리를 경청해 실효성 있는 정책을 만들기 위해 민간과 부처의 실무단(←워킹 그룹)을 만들고 국회가 이를 뒷받침하는 협력적 촉진 체계가 정립돼야 한다.,453,3.3793103448275863,3.4482758620689653,2
450,주니어 보드,junior board(영),청년 중역 회의,2.0,기업이 과장급 이하의 직원들 가운데서 선발한 청년 사원들을 청년 중역으로 임명해 기존의 임원 회의나 중역 회의와는 별도로 회사의 중요 안건이나 문제를 제안·토의·의결하게 하는 제도.<관련 예문>행복한 직장 문화 확산을 위해 젊은 직원들이 주축이 돼 조직 문화에 대해서 토의하고 실천 과제를 제안하는 조직 문화 혁신 청년 중역 회의(←주니어 보드)를 출범하기로 했다.,454,6.758620689655173,0.0,-2
451,키스 앤드 라이드,kiss and ride,환승 정차 구역,5.0,"자택에서 승용차를 타고 와서 대중교통 수단으로 환승하는 경우, 운전자는 내리지 않고 같이 타고 온 여행자(대중교통 이용자)만 환승을 위해 내리는 곳. 또는 대중교통 수단을 타고 온 여행자를 승용차에 태워서 집으로 돌아가기 위해 정차하는 곳.<관련 예문>대중교통 이용자만 환승을 위해 하차하는 곳인 환승 정차 구역(←키스 앤드 라이드)에 무분별하게 주차하는 일도 자주 벌어지고 있다.",455,0.0,0.0,0
452,트랜스 미디어,trans media,매체 융합,5.0,"매체(미디어) 간의 경계선을 넘어 서로 결합ㆍ융합되는 현상.<관련 예문>이번 작업은 웹툰-애니메이션 영역을 넘나드는 매체 융합(←트랜스 미디어) 콘텐츠의 새로운 가능성을 보여주고, 콘텐츠 확장의 선순환 고리를 만드는 또 다른 계기가 될 것이다.",456,8.448275862068966,0.0,-2
453,메이커 스페이스,maker space(영),열린 제작실,4.0,"입체(3D) 모델 파일과 다양한 재료들로 소비자가 원하는 사물을 즉석에서 만들어 낼 수 있는 작업 공간.<관련 예문>최근 전국 곳곳에 열린 제작실(←메이커  스페이스)들이 생겨나는 중이다. 이곳에서는 고가의 장비들을 무상 혹은 저렴한 비용으로 이용할 수 있고, 사용법에 대한 교육도 받을 수 있다.",457,31.17241379310345,0.0,-2
454,세이프 가드,safe guard(영),긴급 수입 제한 (조치),4.0,"특정 품목의 수입이 급증하여 국내 업체에 심각한 피해가 발생할 우려가 있을 경우, 수입국이 관세 인상이나 수입량 제한 등을 통하여 수입품에 대한 규제를 할 수 있는 무역 장벽의 하나.<관련 예문>미국이 수입 태양광 제품에 대해 긴급 수입 제한 조치(←세이프 가드)를 발동해 최대 30% 추가 관세를 부과한 데 대해 중국이 14일 세계무역기구(WTO)에 제소했다.",458,15.89655172413793,0.0,-2
455,세컨더리 보이콧,secondary boycott(영),제3자 제재,5.0,"제재 국가와 거래하는 제3국의 기업과 은행, 정부 등에 대해서도 제재를 가하는 방안.<관련 예문>제3자 제재(←세컨더리 보이콧)은 미국이 제재대상 국가와 거래하는 제3국에 대한 기업에 제재를 가하는 조치다.",459,0.0,0.0,0
456,에어 서큘레이터,air circulator,공기 순환기,1.0,실내 공기를 순환시키는 가정용 전기 기구. 실내 온도 차를 작게 하고 냉난방 효과를 높임.<관련 예문>공기 순환기(←에어 서큘레이터)는 에어컨과 동시에 사용하면 찬 공기를 멀리까지 보내줘 집안 구석구석을 시원하게 해 준다.,460,5.862068965517241,7.9655172413793105,3
457,오버 투어리즘,over tourism,관광객 과잉,4.0,수용 가능한 범위를 넘어서는 관광객이 관광지에 몰려들면서 관광객이 도시를 점령하고 주민들의 삶을 침범하는 현상.<관련 예문>관광객이 동네 혹은 도시를 점령하고 주민들의 삶을 침범하는 관광객 과잉(←오버투어리즘) 문제에 대한 불만의 목소리가 커지고 있다.,461,0.27586206896551724,3.4482758620689653,4
458,쿨링 오프,cooling off(영),계약 철회 보증 (제도),3.0,"판매자의 권유에 의해 상품을 구매하였으나 추후에 불필요하다고 느꼈을 경우 소비자가 일정 기간 동안 계약을 취소하거나 철회할 수 있도록 한 제도.<관련 예문>방문 판매원의 끈질긴 권유나 친척, 친구를 통한 의리성 계약 등으로 계약 내용을 잘 알지 못한 채 계약서에 도장을 찍는 사례들을 구제하기 위해 계약 철회 보증 제도(←쿨링 오프)가 생겼다.",462,0.0,0.0,0
459,플래그십 마케팅,flagship marketing,대표 상품 마케팅,3.0,시장에서 성공을 거둔 대표 상품을 중심으로 판촉 활동을 하는 마케팅 기법.<관련 예문>식품 유통업계에서 대표 상품 마케팅(←플래그십 마케팅)이 매우 활발하게 이뤄지고 있는 추세다.,463,0.0,0.0,0
460,"크로스 미디어, 크로스 미디어 기법","cross media, cross media 技法",매체 다양화 기법,2.0,어떤 사항이나 내용을 온라인과 오프라인의 다양한 매체를 활용하여 대중에게 노출하는 방법.,464,0.0,0.0,0
461,"구즈, 굿즈",goods(영),팬 상품,2.0,연예인 또는 만화 영화 등 특정 대상을 기념하는 파생 상품.<관련 예문>요즘 누리꾼들 사이에서는 박물관의 팬 상품(←구즈/굿즈)도 많은 인기를 얻고 있다.,465,0.0,0.0,0
462,드라이 에이징,dry aging(영),건식 숙성,4.0,통풍이 잘 되는 곳에서 거꾸로 매달아 숙성시키는 방식.<관련 예문>○○ 식품은 최근 건식 숙성(←드라이 에이징)과 습식 숙성(←웨트 에이징) 기술을 적용한 소고기 판매를 동시에 시작하였다.,466,10.827586206896552,0.0,-2
463,레거시,legacy(영),"유산, 대회 유산",2.0,"올림픽·아시안 게임 등 국제대회 관련 분야에서는 대회 개최 후 활용해야 할 시설(경기장, 숙박 시설…)이나 대회 개최 과정에서 축적된 기술이나 각종 지원 체계(방송, 의료…) 등.<관련 예문>평창 동계 올림픽을 성공적으로 개최하여, 뜻깊은 대회 유산(←레거시)을 많이 창출하는 방안을 모색해야 한다.",467,74.58620689655173,0.034482758620689655,-2
464,레이크 뷰,lake view(영),호수 전망,5.0,숙박업소 객실의 전망이 주로 호수인 경우.,468,27.96551724137931,0.0,-2
